Date,Flow
01-01-84,109.3
02-01-84,161.2
03-01-84,127
04-01-84,106.5
05-01-84,99.3
06-01-84,150.1
07-01-84,245.5
08-01-84,253.7
09-01-84,154.8
10-01-84,104.3
11-01-84,297.8
12-01-84,279.7
13-01-84,259.2
14-01-84,248.2
15-01-84,235.5
16-01-84,228.2
17-01-84,217.1
18-01-84,208.4
19-01-84,203.9
20-01-84,192.1
21-01-84,190
22-01-84,171.1
23-01-84,166.1
24-01-84,160.8
25-01-84,161.6
26-01-84,158.2
27-01-84,156.3
28-01-84,154.2
29-01-84,153.7
30-01-84,175.8
31-01-84,158.7
01-02-84,
02-02-84,
03-02-84,
04-02-84,
05-02-84,
06-02-84,
07-02-84,
08-02-84,
09-02-84,
10-02-84,
11-02-84,
12-02-84,
13-02-84,
14-02-84,
15-02-84,
16-02-84,
17-02-84,
18-02-84,
19-02-84,
20-02-84,
21-02-84,
22-02-84,
23-02-84,
24-02-84,
25-02-84,
26-02-84,
27-02-84,
28-02-84,
29-02-84,
01-03-84,155.8
02-03-84,149.5
03-03-84,157.9
04-03-84,152.1
05-03-84,53.7
06-03-84,112.3
07-03-84,68.4
08-03-84,62.2
09-03-84,60.9
10-03-84,59.2
11-03-84,57.5
12-03-84,52.8
13-03-84,49.8
14-03-84,47.8
15-03-84,46.6
16-03-84,45
17-03-84,44.6
18-03-84,42.6
19-03-84,42.2
20-03-84,41.8
21-03-84,41
22-03-84,39.8
23-03-84,38.6
24-03-84,38.6
25-03-84,37.8
26-03-84,37.8
27-03-84,37
28-03-84,37
29-03-84,36.2
30-03-84,37.4
31-03-84,36.2
01-04-84,38.6
02-04-84,40.2
03-04-84,47
04-04-84,41.4
05-04-84,36.6
06-04-84,34.6
07-04-84,34.6
08-04-84,33.8
09-04-84,33.8
10-04-84,33.8
11-04-84,33.8
12-04-84,33
13-04-84,46.7
14-04-84,49.4
15-04-84,47.4
16-04-84,43
17-04-84,43
18-04-84,49.1
19-04-84,52.8
20-04-84,45.4
21-04-84,86
22-04-84,65.2
23-04-84,48.7
24-04-84,45.4
25-04-84,54.1
26-04-84,60.5
27-04-84,57.1
28-04-84,57.9
29-04-84,69.4
30-04-84,93.8
01-05-84,140.4
02-05-84,141
03-05-84,127.7
04-05-84,97.6
05-05-84,79.3
06-05-84,76
07-05-84,66.5
08-05-84,59.6
09-05-84,74.1
10-05-84,99.5
11-05-84,92.7
12-05-84,155
13-05-84,157.9
14-05-84,123.1
15-05-84,209.1
16-05-84,149.6
17-05-84,199.7
18-05-84,188.5
19-05-84,132.8
20-05-84,121.9
21-05-84,107
22-05-84,116.3
23-05-84,134.5
24-05-84,142.3
25-05-84,105.4
26-05-84,124.8
27-05-84,141.9
28-05-84,134.6
29-05-84,122.5
30-05-84,101.5
31-05-84,123.4
01-06-84,109.4
02-06-84,105.4
03-06-84,93.2
04-06-84,111.8
05-06-84,160.5
06-06-84,111.8
07-06-84,104.6
08-06-84,111.1
09-06-84,270.1
10-06-84,242.9
11-06-84,201
12-06-84,228.6
13-06-84,164.4
14-06-84,162.5
15-06-84,131.4
16-06-84,213.6
17-06-84,236.8
18-06-84,401.2
19-06-84,308.6
20-06-84,168.9
21-06-84,142.9
22-06-84,301.5
23-06-84,362.5
24-06-84,294.8
25-06-84,210.1
26-06-84,167.7
27-06-84,307.9
28-06-84,191
29-06-84,272.6
30-06-84,285.3
01-07-84,219.7
02-07-84,328
03-07-84,343.3
04-07-84,250.7
05-07-84,198.8
06-07-84,419.6
07-07-84,315.7
08-07-84,335.1
09-07-84,230.4
10-07-84,263.6
11-07-84,325.2
12-07-84,211.3
13-07-84,215.8
14-07-84,263.7
15-07-84,279.5
16-07-84,450.7
17-07-84,511
18-07-84,309.2
19-07-84,213.6
20-07-84,225.4
21-07-84,296.8
22-07-84,340.8
23-07-84,447.6
24-07-84,394.9
25-07-84,407.7
26-07-84,393.9
27-07-84,327.6
28-07-84,263.7
29-07-84,242.9
30-07-84,261
31-07-84,307.7
01-08-84,333
02-08-84,307.6
03-08-84,261.8
04-08-84,257.7
05-08-84,374.9
06-08-84,547.4
07-08-84,409.5
08-08-84,399.7
09-08-84,246.7
10-08-84,176.9
11-08-84,219.2
12-08-84,227.6
13-08-84,203.7
14-08-84,252.8
15-08-84,208.9
16-08-84,285.7
17-08-84,510.6
18-08-84,499.9
19-08-84,606
20-08-84,365.3
21-08-84,281.8
22-08-84,295.5
23-08-84,248.6
24-08-84,470.8
25-08-84,294.2
26-08-84,208.1
27-08-84,259.5
28-08-84,243.5
29-08-84,391.6
30-08-84,676.1
31-08-84,749.3
01-09-84,789.4
02-09-84,716.7
03-09-84,621.6
04-09-84,514
05-09-84,309
06-09-84,412.5
07-09-84,580.6
08-09-84,663.4
09-09-84,408.2
10-09-84,400.9
11-09-84,347.1
12-09-84,387.3
13-09-84,765.6
14-09-84,678.2
15-09-84,456.1
16-09-84,397.7
17-09-84,381.4
18-09-84,410.7
19-09-84,402.5
20-09-84,428.4
21-09-84,393.2
22-09-84,385.5
23-09-84,392.7
24-09-84,462.3
25-09-84,397
26-09-84,395.1
27-09-84,505.7
28-09-84,288.7
29-09-84,370
30-09-84,464.4
01-10-84,280.2
02-10-84,227
03-10-84,261.8
04-10-84,283.3
05-10-84,269.9
06-10-84,221
07-10-84,256.7
08-10-84,342.2
09-10-84,371.8
10-10-84,342.8
11-10-84,439.3
12-10-84,377.4
13-10-84,368.8
14-10-84,272.9
15-10-84,256
16-10-84,242
17-10-84,237.3
18-10-84,218.6
19-10-84,230.3
20-10-84,274.2
21-10-84,409.2
22-10-84,526.6
23-10-84,399.6
24-10-84,410.6
25-10-84,455.6
26-10-84,454.2
27-10-84,540.7
28-10-84,373.3
29-10-84,340.8
30-10-84,374.1
31-10-84,245.1
01-11-84,242
02-11-84,233.6
03-11-84,270.5
04-11-84,291.8
05-11-84,283.3
06-11-84,309.4
07-11-84,321.4
08-11-84,253.1
09-11-84,213.2
10-11-84,185
11-11-84,178.4
12-11-84,169.4
13-11-84,223.5
14-11-84,180.8
15-11-84,170
16-11-84,212
17-11-84,200.6
18-11-84,191.6
19-11-84,210.8
20-11-84,264.5
21-11-84,330.8
22-11-84,304.7
23-11-84,231.9
24-11-84,246.7
25-11-84,261.9
26-11-84,251.6
27-11-84,237.2
28-11-84,230.6
29-11-84,229.4
30-11-84,207.8
01-12-84,269.9
02-12-84,296.3
03-12-84,184.9
04-12-84,167
05-12-84,148.2
06-12-84,139.7
07-12-84,126.6
08-12-84,122.7
09-12-84,115.4
10-12-84,113.1
11-12-84,114.2
12-12-84,122.1
13-12-84,242.6
14-12-84,239.2
15-12-84,211.5
16-12-84,200.6
17-12-84,156
18-12-84,185.6
19-12-84,138.4
20-12-84,214.2
21-12-84,224.2
22-12-84,204.2
23-12-84,202.4
24-12-84,221.8
25-12-84,201.1
26-12-84,186.1
27-12-84,179.5
28-12-84,171.9
29-12-84,156.4
30-12-84,145.8
31-12-84,79.8
01-01-85,53.5
02-01-85,49.5
03-01-85,47.5
04-01-85,45.5
05-01-85,44.5
06-01-85,41.6
07-01-85,40.2
08-01-85,39.2
09-01-85,38.1
10-01-85,37.1
11-01-85,36
12-01-85,34.5
13-01-85,32.5
14-01-85,31.5
15-01-85,30.5
16-01-85,29.5
17-01-85,29
18-01-85,28
19-01-85,27.5
20-01-85,26.5
21-01-85,26
22-01-85,25
23-01-85,35
24-01-85,24.7
25-01-85,24.7
26-01-85,25.5
27-01-85,31.2
28-01-85,30
29-01-85,29
30-01-85,22.5
31-01-85,21.5
01-02-85,35.7
02-02-85,35
03-02-85,35
04-02-85,26
05-02-85,36
06-02-85,39.5
07-02-85,38.5
08-02-85,35.7
09-02-85,35
10-02-85,35
11-02-85,33.5
12-02-85,35.7
13-02-85,35
14-02-85,37.1
15-02-85,35
16-02-85,46.8
17-02-85,40.9
18-02-85,38.8
19-02-85,36
20-02-85,32.5
21-02-85,30
22-02-85,29
23-02-85,29
24-02-85,30.5
25-02-85,29
26-02-85,28
27-02-85,28.5
28-02-85,28.5
01-03-85,27
02-03-85,31.2
03-03-85,40.3
04-03-85,32.5
05-03-85,29.5
06-03-85,26.2
07-03-85,37.8
08-03-85,48.5
09-03-85,39.5
10-03-85,37.1
11-03-85,48.5
12-03-85,36.4
13-03-85,35.7
14-03-85,34
15-03-85,31.5
16-03-85,29
17-03-85,26.5
18-03-85,24.7
19-03-85,24.5
20-03-85,24
21-03-85,24
22-03-85,23.5
23-03-85,23.5
24-03-85,22.5
25-03-85,22.5
26-03-85,22.5
27-03-85,22
28-03-85,22
29-03-85,23.5
30-03-85,82.9
31-03-85,108.2
01-04-85,108.2
02-04-85,95.5
03-04-85,77.4
04-04-85,60
05-04-85,50.5
06-04-85,46
07-04-85,43.5
08-04-85,74.7
09-04-85,68.1
10-04-85,61
11-04-85,60.5
12-04-85,52
13-04-85,53
14-04-85,51
15-04-85,45.5
16-04-85,47.5
17-04-85,41.7
18-04-85,36.4
19-04-85,33.5
20-04-85,32
21-04-85,27.5
22-04-85,32.7
23-04-85,35.7
24-04-85,58
25-04-85,48.5
26-04-85,38.8
27-04-85,37.8
28-04-85,190.2
29-04-85,180.1
30-04-85,177.6
01-05-85,167.8
02-05-85,131.3
03-05-85,97.2
04-05-85,92.8
05-05-85,178.9
06-05-85,104.9
07-05-85,115.8
08-05-85,103.8
09-05-85,93.9
10-05-85,91.2
11-05-85,91.2
12-05-85,99.28
13-05-85,111.4
14-05-85,120.1
15-05-85,128.3
16-05-85,142.6
17-05-85,153.4
18-05-85,166.9
19-05-85,157.1
20-05-85,147.1
21-05-85,137.9
22-05-85,131.5
23-05-85,153.8
24-05-85,96.16
25-05-85,66.99
26-05-85,73
27-05-85,82.8
28-05-85,89.93
29-05-85,83.13
30-05-85,160.6
31-05-85,287.3
01-06-85,488.9
02-06-85,367.7
03-06-85,257.6
04-06-85,248.9
05-06-85,239.8
06-06-85,309.3
07-06-85,440
08-06-85,474.3
09-06-85,492.7
10-06-85,425.7
11-06-85,226.9
12-06-85,190.9
13-06-85,241.2
14-06-85,203.9
15-06-85,334.9
16-06-85,177.2
17-06-85,139.4
18-06-85,126.6
19-06-85,117
20-06-85,155.3
21-06-85,121.9
22-06-85,108.7
23-06-85,133.5
24-06-85,155.9
25-06-85,115.7
26-06-85,321.4
27-06-85,270.7
28-06-85,307.2
29-06-85,505
30-06-85,422.1
01-07-85,238.4
02-07-85,150
03-07-85,114.2
04-07-85,130.2
05-07-85,153.3
06-07-85,146.7
07-07-85,130.9
08-07-85,121
09-07-85,169.8
10-07-85,132.8
11-07-85,198.3
12-07-85,206.3
13-07-85,243.9
14-07-85,209.9
15-07-85,257.5
16-07-85,242
17-07-85,197.4
18-07-85,218.3
19-07-85,391.3
20-07-85,429
21-07-85,496.8
22-07-85,341.4
23-07-85,258.6
24-07-85,246.1
25-07-85,477.5
26-07-85,468.5
27-07-85,537.7
28-07-85,413
29-07-85,386.9
30-07-85,261.1
31-07-85,258.4
01-08-85,338.8
02-08-85,281.6
03-08-85,376.5
04-08-85,461.1
05-08-85,273.7
06-08-85,338.5
07-08-85,302.6
08-08-85,314.5
09-08-85,304.3
10-08-85,455.2
11-08-85,386.8
12-08-85,273.9
13-08-85,199.6
14-08-85,186.6
15-08-85,169.1
16-08-85,167.2
17-08-85,167.2
18-08-85,296.8
19-08-85,428.3
20-08-85,405.9
21-08-85,284.5
22-08-85,479.4
23-08-85,345.1
24-08-85,222.6
25-08-85,196.7
26-08-85,223.3
27-08-85,232.7
28-08-85,206.8
29-08-85,226.5
30-08-85,310.1
31-08-85,259.1
01-09-85,190.2
02-09-85,233.4
03-09-85,375
04-09-85,531.4
05-09-85,616.8
06-09-85,462.3
07-09-85,407.7
08-09-85,300.9
09-09-85,396.1
10-09-85,472
11-09-85,514.5
12-09-85,445.2
13-09-85,347.2
14-09-85,358.9
15-09-85,402.1
16-09-85,499.3
17-09-85,330.9
18-09-85,241.6
19-09-85,214.7
20-09-85,206
21-09-85,290.7
22-09-85,270.3
23-09-85,206
24-09-85,243.6
25-09-85,182.4
26-09-85,364.3
27-09-85,424.9
28-09-85,428.7
29-09-85,272.1
30-09-85,244.3
01-10-85,273.5
02-10-85,402.3
03-10-85,333.3
04-10-85,329.4
05-10-85,323.8
06-10-85,377.8
07-10-85,363.5
08-10-85,415.4
09-10-85,722.4
10-10-85,458.5
11-10-85,320.4
12-10-85,312.8
13-10-85,474.6
14-10-85,400.3
15-10-85,275.1
16-10-85,297.5
17-10-85,323
18-10-85,254.1
19-10-85,237
20-10-85,272
